date,store_id,product_id,category,region,year,month,day,day_of_week,demand_real,demand_pred
2023-09-06,S004,P0009,Clothing,West,2023,9,6,Wednesday,108,100.32171052631578
2023-09-06,S005,P0009,Groceries,North,2023,9,6,Wednesday,204,200.175
2023-09-07,S001,P0009,Clothing,North,2023,9,7,Thursday,103,92.48877457264956
2023-09-07,S002,P0009,Groceries,South,2023,9,7,Thursday,148,139.15499522005774
2023-09-07,S003,P0009,Groceries,East,2023,9,7,Thursday,71,64.965
2023-09-07,S004,P0009,Clothing,West,2023,9,7,Thursday,95,86.54375
2023-09-07,S005,P0009,Groceries,North,2023,9,7,Thursday,105,102.42143959060265
2023-09-08,S001,P0009,Clothing,North,2023,9,8,Friday,97,89.13767539405036
2023-09-08,S002,P0009,Groceries,South,2023,9,8,Friday,83,84.75158315295816
2023-09-08,S003,P0009,Groceries,East,2023,9,8,Friday,113,118.78317967403088
2023-09-08,S004,P0009,Clothing,West,2023,9,8,Friday,55,61.59233333333333
2023-09-08,S005,P0009,Groceries,North,2023,9,8,Friday,69,57.667200123152696
2023-09-09,S001,P0009,Clothing,North,2023,9,9,Saturday,140,147.308
2023-09-09,S002,P0009,Groceries,South,2023,9,9,Saturday,191,171.57488540299568
2023-09-09,S003,P0009,Groceries,East,2023,9,9,Saturday,177,188.14583333333331
2023-09-09,S004,P0009,Clothing,West,2023,9,9,Saturday,141,154.865
2023-09-09,S005,P0009,Groceries,North,2023,9,9,Saturday,107,115.07505844155843
2023-09-10,S001,P0009,Clothing,North,2023,9,10,Sunday,89,92.37419431153643
2023-09-10,S002,P0009,Groceries,South,2023,9,10,Sunday,112,117.50400152004424
2023-09-10,S003,P0009,Groceries,East,2023,9,10,Sunday,137,131.7116601657442
2023-09-10,S004,P0009,Clothing,West,2023,9,10,Sunday,89,98.70547727272725
2023-09-10,S005,P0009,Groceries,North,2023,9,10,Sunday,127,119.03398412698412
2023-09-11,S001,P0009,Clothing,North,2023,9,11,Monday,200,174.79165097402597
2023-09-11,S002,P0009,Groceries,South,2023,9,11,Monday,172,172.15558122106648
2023-09-11,S003,P0009,Groceries,East,2023,9,11,Monday,151,155.1629166666667
2023-09-11,S004,P0009,Clothing,West,2023,9,11,Monday,166,172.59
2023-09-12,S001,P0009,Clothing,North,2023,9,12,Tuesday,78,104.94794642857143
2023-09-12,S002,P0009,Groceries,South,2023,9,12,Tuesday,154,170.31722237484738
2023-09-12,S003,P0009,Groceries,East,2023,9,12,Tuesday,116,131.59166666666667
2023-09-12,S004,P0009,Clothing,West,2023,9,12,Tuesday,157,152.96
2023-09-12,S005,P0009,Groceries,North,2023,9,12,Tuesday,179,188.07625
2023-09-13,S001,P0009,Clothing,North,2023,9,13,Wednesday,82,78.8717466396122
2023-09-13,S002,P0009,Groceries,South,2023,9,13,Wednesday,209,203.66389957264957
2023-09-13,S004,P0009,Clothing,West,2023,9,13,Wednesday,68,85.68833333333332
2023-09-13,S005,P0009,Groceries,North,2023,9,13,Wednesday,103,113.17794155844156
2023-09-14,S001,P0009,Clothing,North,2023,9,14,Thursday,136,145.96839072039074
2023-09-14,S002,P0009,Groceries,South,2023,9,14,Thursday,101,93.954230006105
2023-09-14,S003,P0009,Groceries,East,2023,9,14,Thursday,92,101.19683333333333
2023-09-14,S004,P0009,Clothing,West,2023,9,14,Thursday,53,62.55033333333333
2023-09-14,S005,P0009,Groceries,North,2023,9,14,Thursday,106,102.95308087745589
2023-09-15,S001,P0009,Clothing,North,2023,9,15,Friday,75,60.76289675670907
2023-09-15,S002,P0009,Groceries,South,2023,9,15,Friday,133,128.02844444444443
2023-09-15,S003,P0009,Groceries,East,2023,9,15,Friday,192,179.25717559523812
2023-09-15,S004,P0009,Clothing,West,2023,9,15,Friday,134,149.4075
2023-09-15,S005,P0009,Groceries,North,2023,9,15,Friday,170,182.98266666666666
2023-09-16,S001,P0009,Clothing,North,2023,9,16,Saturday,114,119.94936695185322
2023-09-16,S002,P0009,Groceries,South,2023,9,16,Saturday,122,110.98844012310786
2023-09-16,S003,P0009,Groceries,East,2023,9,16,Saturday,86,95.20708333333334
2023-09-16,S004,P0009,Clothing,West,2023,9,16,Saturday,89,86.10819047619047
2023-09-16,S005,P0009,Groceries,North,2023,9,16,Saturday,120,115.43360102397601
2023-09-17,S001,P0009,Clothing,North,2023,9,17,Sunday,87,71.35495701852683
2023-09-17,S002,P0009,Groceries,South,2023,9,17,Sunday,166,170.28379159729167
2023-09-17,S003,P0009,Groceries,East,2023,9,17,Sunday,111,113.915
2023-09-17,S004,P0009,Clothing,West,2023,9,17,Sunday,124,112.01350595238095
2023-09-17,S005,P0009,Groceries,North,2023,9,17,Sunday,167,166.11765151515152
2023-09-18,S001,P0009,Clothing,North,2023,9,18,Monday,196,196.217
2023-09-18,S002,P0009,Groceries,South,2023,9,18,Monday,110,118.39
2023-09-18,S003,P0009,Groceries,East,2023,9,18,Monday,114,109.77678826874879
2023-09-18,S004,P0009,Clothing,West,2023,9,18,Monday,121,113.757
2023-09-18,S005,P0009,Groceries,North,2023,9,18,Monday,125,113.81440476190477
2023-09-19,S001,P0009,Clothing,North,2023,9,19,Tuesday,108,102.50645289450416
2023-09-19,S002,P0009,Groceries,South,2023,9,19,Tuesday,108,120.70886691642325
2023-09-19,S003,P0009,Groceries,East,2023,9,19,Tuesday,132,142.39984845294728
2023-09-19,S004,P0009,Clothing,West,2023,9,19,Tuesday,90,99.33
2023-09-19,S005,P0009,Groceries,North,2023,9,19,Tuesday,85,73.90300198412697
2023-09-20,S001,P0009,Clothing,North,2023,9,20,Wednesday,114,116.60343726668661
2023-09-20,S002,P0009,Groceries,South,2023,9,20,Wednesday,87,84.32926370851372
2023-09-20,S003,P0009,Groceries,East,2023,9,20,Wednesday,103,108.79104083644252
2023-09-20,S004,P0009,Clothing,West,2023,9,20,Wednesday,74,70.20661111111112
2023-09-20,S005,P0009,Groceries,North,2023,9,20,Wednesday,65,62.40785714285715
2023-09-21,S001,P0009,Clothing,North,2023,9,21,Thursday,101,93.2931998001998
2023-09-21,S002,P0009,Groceries,South,2023,9,21,Thursday,70,75.95509276505659
2023-09-21,S003,P0009,Groceries,East,2023,9,21,Thursday,184,170.09418639693638
2023-09-21,S004,P0009,Clothing,West,2023,9,21,Thursday,124,128.64566596638656
2023-09-21,S005,P0009,Groceries,North,2023,9,21,Thursday,68,81.18318831314882
2023-09-22,S001,P0009,Clothing,North,2023,9,22,Friday,85,79.74917651711031
2023-09-22,S002,P0009,Groceries,South,2023,9,22,Friday,77,80.94551482169362
2023-09-22,S003,P0009,Groceries,East,2023,9,22,Friday,141,146.40835771173272
2023-09-22,S004,P0009,Clothing,West,2023,9,22,Friday,106,116.56397657244717
2023-09-22,S005,P0009,Groceries,North,2023,9,22,Friday,108,113.31899999999997
2023-09-23,S001,P0009,Clothing,North,2023,9,23,Saturday,75,61.53801031880056
2023-09-23,S002,P0009,Groceries,South,2023,9,23,Saturday,96,118.78
2023-09-23,S003,P0009,Groceries,East,2023,9,23,Saturday,104,99.73666666666668
2023-09-23,S005,P0009,Groceries,North,2023,9,23,Saturday,181,200.65099999999998
2023-09-24,S001,P0009,Clothing,North,2023,9,24,Sunday,137,123.69242624223605
2023-09-24,S002,P0009,Groceries,South,2023,9,24,Sunday,151,133.53894334661504
2023-09-24,S003,P0009,Groceries,East,2023,9,24,Sunday,124,120.49301016467194
2023-09-24,S004,P0009,Clothing,West,2023,9,24,Sunday,25,22.71375
2023-09-24,S005,P0009,Groceries,North,2023,9,24,Sunday,53,55.318633942446425
2023-09-25,S001,P0009,Clothing,North,2023,9,25,Monday,178,170.9126666666667
2023-09-25,S002,P0009,Groceries,South,2023,9,25,Monday,109,115.55840531744225
2023-09-25,S003,P0009,Groceries,East,2023,9,25,Monday,106,98.58359561783247
2023-09-25,S004,P0009,Clothing,West,2023,9,25,Monday,49,55.265874999999994
2023-09-25,S005,P0009,Groceries,North,2023,9,25,Monday,75,67.15287500000001
2023-09-26,S001,P0009,Clothing,North,2023,9,26,Tuesday,138,127.47914880952385
2023-09-26,S002,P0009,Groceries,South,2023,9,26,Tuesday,117,111.48604863001205
2023-09-26,S003,P0009,Groceries,East,2023,9,26,Tuesday,150,137.3416898656899
2023-09-26,S004,P0009,Clothing,West,2023,9,26,Tuesday,68,79.89628571428571
2023-09-26,S005,P0009,Groceries,North,2023,9,26,Tuesday,81,93.08619150987899
2023-09-27,S001,P0009,Clothing,North,2023,9,27,Wednesday,74,75.6571322767555
2023-09-27,S002,P0009,Groceries,South,2023,9,27,Wednesday,59,60.63756224045563
2023-09-27,S003,P0009,Groceries,East,2023,9,27,Wednesday,114,120.56388962054885
2023-09-27,S004,P0009,Clothing,West,2023,9,27,Wednesday,85,99.33200000000001
2023-09-27,S005,P0009,Groceries,North,2023,9,27,Wednesday,145,136.43709267937945
2023-09-28,S001,P0009,Clothing,North,2023,9,28,Thursday,170,155.59171153846154
2023-09-28,S002,P0009,Groceries,South,2023,9,28,Thursday,84,93.6163485680986
2023-09-28,S003,P0009,Groceries,East,2023,9,28,Thursday,74,72.5575
2023-09-28,S004,P0009,Clothing,West,2023,9,28,Thursday,71,75.035
2023-09-28,S005,P0009,Groceries,North,2023,9,28,Thursday,70,62.20525000000001
2023-09-29,S001,P0009,Clothing,North,2023,9,29,Friday,91,99.43375501867413
2023-09-29,S002,P0009,Groceries,South,2023,9,29,Friday,136,133.17120634920636
2023-09-29,S003,P0009,Groceries,East,2023,9,29,Friday,156,166.46973076923078
2023-09-29,S004,P0009,Clothing,West,2023,9,29,Friday,101,110.37249837662338
2023-09-29,S005,P0009,Groceries,North,2023,9,29,Friday,104,97.37500958763458
2023-09-30,S001,P0009,Clothing,North,2023,9,30,Saturday,83,80.6017053771392
2023-09-30,S002,P0009,Groceries,South,2023,9,30,Saturday,120,113.79550268481513
2023-09-30,S003,P0009,Groceries,East,2023,9,30,Saturday,113,121.52509087272806
2023-09-30,S004,P0009,Clothing,West,2023,9,30,Saturday,69,66.55
2023-09-30,S005,P0009,Groceries,North,2023,9,30,Saturday,94,108.36988227776692
2023-10-01,S001,P0009,Clothing,North,2023,10,1,Sunday,92,96.71475105042018
2023-10-01,S002,P0009,Groceries,South,2023,10,1,Sunday,54,53.03
2023-10-01,S003,P0009,Groceries,East,2023,10,1,Sunday,105,113.98006535947712
2023-10-01,S004,P0009,Clothing,West,2023,10,1,Sunday,89,100.11758928571427
2023-10-01,S005,P0009,Groceries,North,2023,10,1,Sunday,107,121.6507442141192
2023-10-02,S001,P0009,Clothing,North,2023,10,2,Monday,162,171.35875
2023-10-02,S002,P0009,Groceries,South,2023,10,2,Monday,172,197.9773717948718
2023-10-02,S003,P0009,Groceries,East,2023,10,2,Monday,166,180.33333333333337
2023-10-02,S004,P0009,Clothing,West,2023,10,2,Monday,87,101.56666666666666
2023-10-02,S005,P0009,Groceries,North,2023,10,2,Monday,211,206.49083333333337
2023-10-03,S001,P0009,Clothing,North,2023,10,3,Tuesday,79,79.63392857142857
2023-10-03,S002,P0009,Groceries,South,2023,10,3,Tuesday,192,173.69320281107784
2023-10-03,S003,P0009,Groceries,East,2023,10,3,Tuesday,42,50.45
2023-10-03,S004,P0009,Clothing,West,2023,10,3,Tuesday,97,89.555
2023-10-03,S005,P0009,Groceries,North,2023,10,3,Tuesday,141,156.56166666666667
2023-10-04,S001,P0009,Clothing,North,2023,10,4,Wednesday,92,97.56611017740428
2023-10-04,S002,P0009,Groceries,South,2023,10,4,Wednesday,45,49.965
2023-10-04,S003,P0009,Groceries,East,2023,10,4,Wednesday,144,149.27285198781098
2023-10-04,S004,P0009,Clothing,West,2023,10,4,Wednesday,52,47.21538461538461
2023-10-04,S005,P0009,Groceries,North,2023,10,4,Wednesday,170,177.505
2023-10-05,S001,P0009,Clothing,North,2023,10,5,Thursday,95,82.16305514119526
2023-10-05,S002,P0009,Groceries,South,2023,10,5,Thursday,112,104.50066927818555
2023-10-05,S003,P0009,Groceries,East,2023,10,5,Thursday,81,94.76285073260073
2023-10-05,S004,P0009,Clothing,West,2023,10,5,Thursday,121,129.22588095238095
2023-10-05,S005,P0009,Groceries,North,2023,10,5,Thursday,52,56.74158658008657
2023-10-06,S001,P0009,Clothing,North,2023,10,6,Friday,112,101.4469017469459
2023-10-06,S002,P0009,Groceries,South,2023,10,6,Friday,67,76.7079255952381
2023-10-06,S003,P0009,Groceries,East,2023,10,6,Friday,147,142.5543944641256
2023-10-06,S004,P0009,Clothing,West,2023,10,6,Friday,91,101.02944444444445
2023-10-06,S005,P0009,Groceries,North,2023,10,6,Friday,45,56.45873069985569
2023-10-07,S001,P0009,Clothing,North,2023,10,7,Saturday,156,167.15468681748064
2023-10-07,S002,P0009,Groceries,South,2023,10,7,Saturday,87,82.56258378427128
2023-10-07,S003,P0009,Groceries,East,2023,10,7,Saturday,92,80.26
2023-10-07,S004,P0009,Clothing,West,2023,10,7,Saturday,55,63.39
2023-10-07,S005,P0009,Groceries,North,2023,10,7,Saturday,64,65.30575
2023-10-08,S001,P0009,Clothing,North,2023,10,8,Sunday,149,138.01191666666665
2023-10-08,S002,P0009,Groceries,South,2023,10,8,Sunday,66,63.28
2023-10-08,S003,P0009,Groceries,East,2023,10,8,Sunday,87,99.84592105263158
2023-10-08,S004,P0009,Clothing,West,2023,10,8,Sunday,99,108.41
2023-10-08,S005,P0009,Groceries,North,2023,10,8,Sunday,164,171.37900000000002
2023-10-09,S001,P0009,Clothing,North,2023,10,9,Monday,99,91.34542992816358
2023-10-09,S002,P0009,Groceries,South,2023,10,9,Monday,75,83.41816738816739
2023-10-09,S003,P0009,Groceries,East,2023,10,9,Monday,51,51.98
2023-10-09,S004,P0009,Clothing,West,2023,10,9,Monday,132,120.14620212295443
2023-10-09,S005,P0009,Groceries,North,2023,10,9,Monday,91,103.87327335572925
2023-10-10,S001,P0009,Clothing,North,2023,10,10,Tuesday,68,71.30611167125713
2023-10-10,S002,P0009,Groceries,South,2023,10,10,Tuesday,64,57.525
2023-10-10,S003,P0009,Groceries,East,2023,10,10,Tuesday,96,102.89986861749362
2023-10-10,S004,P0009,Clothing,West,2023,10,10,Tuesday,98,99.72149999999999
2023-10-10,S005,P0009,Groceries,North,2023,10,10,Tuesday,57,58.82629166666665
2023-10-11,S001,P0009,Clothing,North,2023,10,11,Wednesday,119,115.55106865537842
2023-10-11,S002,P0009,Groceries,South,2023,10,11,Wednesday,73,71.18060999694322
2023-10-11,S003,P0009,Groceries,East,2023,10,11,Wednesday,61,60.43
2023-10-11,S004,P0009,Clothing,West,2023,10,11,Wednesday,62,71.37311111111111
2023-10-11,S005,P0009,Groceries,North,2023,10,11,Wednesday,89,95.44523307656398
2023-10-12,S001,P0009,Clothing,North,2023,10,12,Thursday,93,99.90649121711621
2023-10-12,S002,P0009,Groceries,South,2023,10,12,Thursday,64,74.10252396378134
2023-10-12,S003,P0009,Groceries,East,2023,10,12,Thursday,97,84.87979166666666
2023-10-12,S004,P0009,Clothing,West,2023,10,12,Thursday,60,53.659
2023-10-12,S005,P0009,Groceries,North,2023,10,12,Thursday,75,73.04369462481962
2023-10-13,S001,P0009,Clothing,North,2023,10,13,Friday,92,96.86153772616275
2023-10-13,S002,P0009,Groceries,South,2023,10,13,Friday,51,46.6825
2023-10-13,S003,P0009,Groceries,East,2023,10,13,Friday,30,33.02
2023-10-13,S004,P0009,Clothing,West,2023,10,13,Friday,73,81.35561699922884
2023-10-13,S005,P0009,Groceries,North,2023,10,13,Friday,38,50.77621825396825
2023-10-14,S001,P0009,Clothing,North,2023,10,14,Saturday,124,133.94894604188087
2023-10-14,S002,P0009,Groceries,South,2023,10,14,Saturday,78,69.38
2023-10-14,S003,P0009,Groceries,East,2023,10,14,Saturday,67,63.14
2023-10-14,S004,P0009,Clothing,West,2023,10,14,Saturday,115,123.58
2023-10-14,S005,P0009,Groceries,North,2023,10,14,Saturday,31,56.50833333333334
2023-10-15,S001,P0009,Clothing,North,2023,10,15,Sunday,127,139.79949681055663
2023-10-15,S002,P0009,Groceries,South,2023,10,15,Sunday,77,71.88204573350629
2023-10-15,S003,P0009,Groceries,East,2023,10,15,Sunday,77,79.06
2023-10-15,S004,P0009,Clothing,West,2023,10,15,Sunday,140,148.34075
2023-10-15,S005,P0009,Groceries,North,2023,10,15,Sunday,86,91.20294472194472
2023-10-16,S001,P0009,Clothing,North,2023,10,16,Monday,91,95.54585137248816
2023-10-16,S002,P0009,Groceries,South,2023,10,16,Monday,94,102.19229465262171
2023-10-16,S003,P0009,Groceries,East,2023,10,16,Monday,70,76.88525
2023-10-16,S004,P0009,Clothing,West,2023,10,16,Monday,43,50.41
2023-10-16,S005,P0009,Groceries,North,2023,10,16,Monday,93,80.50613209159263
2023-10-17,S001,P0009,Clothing,North,2023,10,17,Tuesday,163,165.15083333333337
2023-10-17,S002,P0009,Groceries,South,2023,10,17,Tuesday,107,100.43453736522308
2023-10-17,S003,P0009,Groceries,East,2023,10,17,Tuesday,59,56.61278174603174
2023-10-17,S004,P0009,Clothing,West,2023,10,17,Tuesday,141,147.3225
2023-10-17,S005,P0009,Groceries,North,2023,10,17,Tuesday,75,71.65518943556442
2023-10-18,S001,P0009,Clothing,North,2023,10,18,Wednesday,108,83.50962301587302
2023-10-18,S002,P0009,Groceries,South,2023,10,18,Wednesday,107,114.03
2023-10-18,S003,P0009,Groceries,East,2023,10,18,Wednesday,82,71.265
2023-10-18,S004,P0009,Clothing,West,2023,10,18,Wednesday,86,81.21209523809524
2023-10-18,S005,P0009,Groceries,North,2023,10,18,Wednesday,115,120.31729834054829
2023-10-19,S001,P0009,Clothing,North,2023,10,19,Thursday,61,59.32720451770452
2023-10-19,S002,P0009,Groceries,South,2023,10,19,Thursday,64,75.9765645481969
2023-10-19,S003,P0009,Groceries,East,2023,10,19,Thursday,46,61.565
2023-10-19,S004,P0009,Clothing,West,2023,10,19,Thursday,105,103.701505694383
2023-10-19,S005,P0009,Groceries,North,2023,10,19,Thursday,109,105.47765316627815
2023-10-20,S001,P0009,Clothing,North,2023,10,20,Friday,129,138.59265187771172
2023-10-20,S002,P0009,Groceries,South,2023,10,20,Friday,45,47.82
2023-10-20,S003,P0009,Groceries,East,2023,10,20,Friday,61,71.65
2023-10-20,S004,P0009,Clothing,West,2023,10,20,Friday,50,47.924
2023-10-20,S005,P0009,Groceries,North,2023,10,20,Friday,80,87.67890130702632
2023-10-21,S001,P0009,Clothing,North,2023,10,21,Saturday,166,154.19458333333333
2023-10-21,S002,P0009,Groceries,South,2023,10,21,Saturday,105,111.1969310966811
2023-10-21,S003,P0009,Groceries,East,2023,10,21,Saturday,111,99.745
2023-10-21,S004,P0009,Clothing,West,2023,10,21,Saturday,104,103.7
2023-10-21,S005,P0009,Groceries,North,2023,10,21,Saturday,139,148.39
2023-10-22,S001,P0009,Clothing,North,2023,10,22,Sunday,88,95.73930753968254
2023-10-22,S002,P0009,Groceries,South,2023,10,22,Sunday,96,82.89685651072784
2023-10-22,S003,P0009,Groceries,East,2023,10,22,Sunday,92,100.07342105263159
2023-10-22,S004,P0009,Clothing,West,2023,10,22,Sunday,50,54.3
2023-10-22,S005,P0009,Groceries,North,2023,10,22,Sunday,98,102.87704528804527
2023-10-23,S001,P0009,Clothing,North,2023,10,23,Monday,176,169.7993908730159
2023-10-23,S002,P0009,Groceries,South,2023,10,23,Monday,142,130.66349839009033
2023-10-23,S003,P0009,Groceries,East,2023,10,23,Monday,129,131.11
2023-10-23,S004,P0009,Clothing,West,2023,10,23,Monday,134,127.485
2023-10-23,S005,P0009,Groceries,North,2023,10,23,Monday,78,77.96916666666667
2023-10-24,S001,P0009,Clothing,North,2023,10,24,Tuesday,121,117.80355954973393
2023-10-24,S002,P0009,Groceries,South,2023,10,24,Tuesday,72,76.3518054081282
2023-10-24,S003,P0009,Groceries,East,2023,10,24,Tuesday,82,70.74125
2023-10-24,S004,P0009,Clothing,West,2023,10,24,Tuesday,131,127.9130972222222
2023-10-24,S005,P0009,Groceries,North,2023,10,24,Tuesday,46,51.02102633477632
2023-10-25,S001,P0009,Clothing,North,2023,10,25,Wednesday,118,117.7037388879237
2023-10-25,S002,P0009,Groceries,South,2023,10,25,Wednesday,76,83.54625785781123
2023-10-25,S003,P0009,Groceries,East,2023,10,25,Wednesday,163,157.55973443223448
2023-10-25,S004,P0009,Clothing,West,2023,10,25,Wednesday,133,120.21199999999999
2023-10-25,S005,P0009,Groceries,North,2023,10,25,Wednesday,190,200.78
2023-10-26,S001,P0009,Clothing,North,2023,10,26,Thursday,168,165.54952882205515
2023-10-26,S002,P0009,Groceries,South,2023,10,26,Thursday,181,173.6502491087344
2023-10-26,S003,P0009,Groceries,East,2023,10,26,Thursday,185,177.72737698412698
2023-10-26,S004,P0009,Clothing,West,2023,10,26,Thursday,151,149.635
2023-10-26,S005,P0009,Groceries,North,2023,10,26,Thursday,122,115.49747619047619
2023-10-27,S001,P0009,Clothing,North,2023,10,27,Friday,146,151.59933333333333
2023-10-27,S002,P0009,Groceries,South,2023,10,27,Friday,169,157.283
2023-10-27,S003,P0009,Groceries,East,2023,10,27,Friday,169,168.41626190476188
2023-10-27,S004,P0009,Clothing,West,2023,10,27,Friday,133,135.385
2023-10-27,S005,P0009,Groceries,North,2023,10,27,Friday,133,126.91133333333333
2023-10-28,S002,P0009,Groceries,South,2023,10,28,Saturday,178,188.92153846153843
2023-10-28,S003,P0009,Groceries,East,2023,10,28,Saturday,147,145.44277777777776
2023-10-28,S004,P0009,Clothing,West,2023,10,28,Saturday,75,81.925
2023-10-28,S005,P0009,Groceries,North,2023,10,28,Saturday,220,196.94
2023-10-29,S001,P0009,Clothing,North,2023,10,29,Sunday,126,131.3399278776779
2023-10-29,S002,P0009,Groceries,South,2023,10,29,Sunday,108,102.80157237791447
2023-10-29,S003,P0009,Groceries,East,2023,10,29,Sunday,171,171.23159523809525
2023-10-29,S004,P0009,Clothing,West,2023,10,29,Sunday,73,71.203
2023-10-29,S005,P0009,Groceries,North,2023,10,29,Sunday,171,154.10733333333334
2023-10-30,S001,P0009,Clothing,North,2023,10,30,Monday,120,112.05678512550044
2023-10-30,S002,P0009,Groceries,South,2023,10,30,Monday,99,112.41437076118325
2023-10-30,S003,P0009,Groceries,East,2023,10,30,Monday,107,118.03236116313582
2023-10-30,S004,P0009,Clothing,West,2023,10,30,Monday,83,100.45522727272729
2023-10-30,S005,P0009,Groceries,North,2023,10,30,Monday,81,84.8225440685046
2023-10-31,S001,P0009,Clothing,North,2023,10,31,Tuesday,124,112.3785944493895
2023-10-31,S002,P0009,Groceries,South,2023,10,31,Tuesday,76,82.50530555555555
2023-10-31,S003,P0009,Groceries,East,2023,10,31,Tuesday,120,118.4838388097867
2023-10-31,S004,P0009,Clothing,West,2023,10,31,Tuesday,174,156.685
2023-10-31,S005,P0009,Groceries,North,2023,10,31,Tuesday,118,113.5381655982906
2023-11-01,S001,P0009,Clothing,North,2023,11,1,Wednesday,74,82.57290187590188
2023-11-01,S002,P0009,Groceries,South,2023,11,1,Wednesday,74,85.31265277777777
2023-11-01,S003,P0009,Groceries,East,2023,11,1,Wednesday,95,84.58877976190477
2023-11-01,S004,P0009,Clothing,West,2023,11,1,Wednesday,82,89.87181818181818
2023-11-01,S005,P0009,Groceries,North,2023,11,1,Wednesday,110,102.82201013610573
2023-11-02,S001,P0009,Clothing,North,2023,11,2,Thursday,183,170.76558333333335
2023-11-02,S002,P0009,Groceries,South,2023,11,2,Thursday,177,165.5861111111111
2023-11-02,S003,P0009,Groceries,East,2023,11,2,Thursday,148,153.73545634920637
2023-11-02,S004,P0009,Clothing,West,2023,11,2,Thursday,134,127.23833333333332
2023-11-02,S005,P0009,Groceries,North,2023,11,2,Thursday,161,160.632125
2023-11-03,S001,P0009,Clothing,North,2023,11,3,Friday,126,125.76676893939396
2023-11-03,S002,P0009,Groceries,South,2023,11,3,Friday,162,168.50735278610279
2023-11-03,S003,P0009,Groceries,East,2023,11,3,Friday,158,143.66241666666664
2023-11-03,S004,P0009,Clothing,West,2023,11,3,Friday,101,106.444375
2023-11-03,S005,P0009,Groceries,North,2023,11,3,Friday,74,67.31666666666666
2023-11-04,S001,P0009,Clothing,North,2023,11,4,Saturday,94,87.48767857142857
2023-11-04,S002,P0009,Groceries,South,2023,11,4,Saturday,144,138.38137554112555
2023-11-04,S003,P0009,Groceries,East,2023,11,4,Saturday,115,117.41833333333334
2023-11-04,S004,P0009,Clothing,West,2023,11,4,Saturday,82,82.47454166666667
2023-11-04,S005,P0009,Groceries,North,2023,11,4,Saturday,58,69.21666666666665
2023-11-05,S001,P0009,Clothing,North,2023,11,5,Sunday,69,56.84297186147187
2023-11-05,S002,P0009,Groceries,South,2023,11,5,Sunday,107,104.23106881462762
2023-11-05,S003,P0009,Groceries,East,2023,11,5,Sunday,133,118.87451974988791
2023-11-05,S004,P0009,Clothing,West,2023,11,5,Sunday,155,163.89
2023-11-05,S005,P0009,Groceries,North,2023,11,5,Sunday,139,149.27255952380955
2023-11-06,S001,P0009,Clothing,North,2023,11,6,Monday,165,164.10583333333335
